employment_status,monthly_income,monthly_expenses,goal_types,target_amount,target_duration,risk_tolerance,investment_experience,savings_investment,existing_loans,financial_discipline,strategy_name,strategy_description,risk_level,duration_year,return_rate
student,<5000,<5000,"['vacation', 'education', 'Buying house']",286570,12,high,advanced,<5000,<5000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,4,4.7%
self-employed,>10000,>10000,"['Buying house', 'vacation', 'education']",137122,15,low,intermediate,>10000,5000-10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,7,5.6%
student,0,>10000,"['Buying house', 'emergency fund', 'education']",94327,17,moderate,beginner,>10000,0,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,17.2%
unemployed,5000-10000,0,"['education', 'vacation', 'emergency fund']",49023,12,high,intermediate,>10000,<5000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,5.4%
self-employed,5000-10000,5000-10000,"['emergency fund', 'education', 'Buying house']",120204,10,high,advanced,5000-10000,<5000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,4,5.4%
self-employed,>10000,0,"['vacation', 'education', 'emergency fund']",155764,1,moderate,advanced,<5000,5000-10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,18.8%
unemployed,0,0,"['emergency fund', 'education', 'Buying house']",69314,7,low,intermediate,5000-10000,>10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,10.3%
retired,5000-10000,5000-10000,"['retirement', 'education', 'emergency fund']",94547,20,moderate,advanced,0,0,saver,Stable Income,Dividend-focused strategy for consistent income.,low,5,4.8%
student,5000-10000,5000-10000,"['emergency fund', 'Buying house', 'education']",166449,14,moderate,beginner,0,5000-10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,6.4%
retired,0,>10000,"['education', 'retirement', 'vacation']",237679,13,high,beginner,0,<5000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,22.2%
retired,0,0,"['emergency fund', 'retirement', 'education']",175021,15,high,beginner,5000-10000,>10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,6.3%
student,5000-10000,<5000,"['retirement', 'Buying house', 'vacation']",92582,20,low,beginner,5000-10000,>10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,8,4.9%
unemployed,5000-10000,5000-10000,"['Buying house', 'education', 'emergency fund']",359420,15,high,beginner,<5000,<5000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,6.6%
retired,5000-10000,5000-10000,"['Buying house', 'education', 'retirement']",115938,13,moderate,beginner,>10000,5000-10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,5,4.6%
unemployed,>10000,5000-10000,"['education', 'vacation', 'emergency fund']",251935,20,low,advanced,0,>10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,6.5%
employed,>10000,<5000,"['retirement', 'emergency fund', 'vacation']",112042,17,high,beginner,0,0,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,20.6%
retired,>10000,5000-10000,"['vacation', 'emergency fund', 'retirement']",371421,6,high,intermediate,<5000,<5000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,15.8%
unemployed,5000-10000,5000-10000,"['education', 'retirement', 'Buying house']",47159,4,moderate,intermediate,>10000,<5000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,21.5%
self-employed,0,5000-10000,"['education', 'emergency fund', 'retirement']",42687,3,moderate,intermediate,5000-10000,>10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.8%
retired,5000-10000,<5000,"['Buying house', 'vacation', 'education']",171788,17,low,advanced,5000-10000,5000-10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,24.1%
student,0,5000-10000,"['emergency fund', 'Buying house', 'vacation']",349069,8,low,beginner,5000-10000,0,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,5,3.4%
unemployed,<5000,0,"['emergency fund', 'education', 'retirement']",179663,20,moderate,beginner,<5000,5000-10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,6,5.0%
retired,<5000,<5000,"['vacation', 'emergency fund', 'retirement']",323706,7,high,intermediate,5000-10000,5000-10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,12.9%
retired,5000-10000,>10000,"['vacation', 'Buying house', 'emergency fund']",163001,16,high,intermediate,0,0,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.6%
retired,>10000,5000-10000,"['emergency fund', 'education', 'Buying house']",264206,18,moderate,intermediate,5000-10000,0,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.2%
employed,5000-10000,0,"['emergency fund', 'retirement', 'education']",488512,18,low,intermediate,>10000,<5000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,6.4%
retired,<5000,0,"['vacation', 'education', 'retirement']",124836,19,moderate,intermediate,>10000,5000-10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,16.7%
unemployed,0,>10000,"['retirement', 'Buying house', 'emergency fund']",117861,13,moderate,beginner,0,0,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,3,3.2%
employed,0,>10000,"['vacation', 'education', 'Buying house']",222204,20,moderate,intermediate,0,0,saver,Stable Income,Dividend-focused strategy for consistent income.,low,8,4.9%
unemployed,0,>10000,"['emergency fund', 'education', 'retirement']",95199,17,moderate,beginner,>10000,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,6.9%
self-employed,>10000,<5000,"['emergency fund', 'Buying house', 'education']",289502,17,low,beginner,5000-10000,0,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,5,4.3%
unemployed,>10000,5000-10000,"['vacation', 'Buying house', 'retirement']",222176,4,low,beginner,<5000,5000-10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,6,11.6%
self-employed,5000-10000,0,"['emergency fund', 'Buying house', 'education']",495780,15,low,intermediate,0,<5000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,11.5%
self-employed,5000-10000,<5000,"['retirement', 'vacation', 'education']",496547,7,high,advanced,<5000,>10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,7.7%
self-employed,0,>10000,"['vacation', 'retirement', 'emergency fund']",322443,8,low,beginner,5000-10000,>10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,4,4.3%
student,5000-10000,0,"['emergency fund', 'vacation', 'Buying house']",354188,5,moderate,intermediate,5000-10000,<5000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,21.4%
retired,0,>10000,"['Buying house', 'vacation', 'education']",85074,13,high,advanced,5000-10000,>10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,10.1%
student,5000-10000,5000-10000,"['education', 'Buying house', 'vacation']",82574,14,moderate,beginner,>10000,>10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,6.3%
employed,0,<5000,"['retirement', 'vacation', 'Buying house']",448253,13,low,beginner,>10000,>10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,7.5%
unemployed,<5000,<5000,"['education', 'Buying house', 'vacation']",199693,1,high,intermediate,0,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,5,4.7%
self-employed,5000-10000,5000-10000,"['retirement', 'education', 'Buying house']",169597,4,moderate,advanced,>10000,0,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,13.3%
employed,5000-10000,<5000,"['education', 'retirement', 'emergency fund']",267510,16,high,beginner,>10000,0,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.3%
student,<5000,5000-10000,"['emergency fund', 'vacation', 'Buying house']",315200,15,low,beginner,<5000,5000-10000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,5,3.9%
retired,5000-10000,<5000,"['Buying house', 'emergency fund', 'retirement']",22409,20,high,intermediate,>10000,0,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,22.2%
unemployed,>10000,<5000,"['education', 'emergency fund', 'retirement']",413890,7,moderate,beginner,<5000,>10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,6,14.2%
unemployed,<5000,0,"['retirement', 'Buying house', 'education']",42182,11,high,intermediate,0,0,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,13.4%
student,>10000,0,"['Buying house', 'retirement', 'vacation']",453858,8,high,intermediate,>10000,5000-10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,23.3%
self-employed,0,>10000,"['retirement', 'Buying house', 'education']",451761,10,high,intermediate,5000-10000,<5000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,4,5.6%
employed,>10000,0,"['vacation', 'emergency fund', 'education']",113395,3,moderate,beginner,<5000,0,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,10.1%
self-employed,<5000,0,"['retirement', 'emergency fund', 'education']",82821,12,moderate,advanced,0,0,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,5,4.7%
unemployed,>10000,<5000,"['Buying house', 'vacation', 'retirement']",268887,5,moderate,beginner,<5000,>10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,21.9%
student,<5000,<5000,"['emergency fund', 'retirement', 'education']",126369,4,high,beginner,>10000,5000-10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,6.1%
retired,5000-10000,0,"['education', 'vacation', 'Buying house']",241034,13,low,beginner,>10000,5000-10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,6.4%
unemployed,<5000,<5000,"['vacation', 'education', 'retirement']",200880,20,low,intermediate,5000-10000,>10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,4,3.3%
employed,0,<5000,"['education', 'emergency fund', 'retirement']",103110,7,low,advanced,0,<5000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,8,4.7%
employed,<5000,<5000,"['education', 'emergency fund', 'Buying house']",35359,2,moderate,advanced,0,<5000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,5,4.4%
unemployed,5000-10000,>10000,"['emergency fund', 'Buying house', 'vacation']",375093,5,high,intermediate,5000-10000,<5000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,6.4%
self-employed,0,<5000,"['vacation', 'emergency fund', 'education']",138327,19,high,beginner,5000-10000,5000-10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,6,11.6%
unemployed,<5000,5000-10000,"['emergency fund', 'retirement', 'education']",26670,17,moderate,beginner,0,>10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,6,13.4%
unemployed,>10000,>10000,"['emergency fund', 'education', 'vacation']",321642,17,low,advanced,<5000,5000-10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,5,4.4%
retired,5000-10000,>10000,"['retirement', 'education', 'vacation']",214704,18,high,intermediate,<5000,<5000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,8,5.8%
self-employed,<5000,<5000,"['vacation', 'emergency fund', 'retirement']",147810,14,low,intermediate,0,<5000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,10,7.5%
retired,<5000,5000-10000,"['education', 'Buying house', 'vacation']",366663,18,high,beginner,5000-10000,0,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,15.8%
self-employed,<5000,0,"['education', 'retirement', 'Buying house']",438804,12,high,beginner,0,5000-10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,14.8%
employed,<5000,>10000,"['education', 'emergency fund', 'retirement']",336113,15,low,beginner,>10000,5000-10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,19.8%
student,0,0,"['retirement', 'emergency fund', 'Buying house']",254787,11,high,beginner,0,5000-10000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,6,3.0%
student,5000-10000,5000-10000,"['emergency fund', 'retirement', 'vacation']",430883,4,high,advanced,>10000,5000-10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,15.0%
employed,5000-10000,>10000,"['retirement', 'vacation', 'education']",50805,3,high,beginner,0,<5000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,7.5%
student,5000-10000,5000-10000,"['retirement', 'vacation', 'Buying house']",349065,2,moderate,beginner,>10000,5000-10000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,11.5%
employed,<5000,5000-10000,"['emergency fund', 'vacation', 'education']",304133,8,moderate,advanced,5000-10000,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,4,3.3%
self-employed,<5000,0,"['retirement', 'vacation', 'Buying house']",311698,10,high,intermediate,0,<5000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,5.7%
employed,>10000,<5000,"['vacation', 'retirement', 'education']",95386,13,high,intermediate,5000-10000,0,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,7,5.0%
employed,>10000,5000-10000,"['Buying house', 'education', 'vacation']",392458,14,high,intermediate,5000-10000,0,saver,Stable Income,Dividend-focused strategy for consistent income.,low,7,5.5%
self-employed,0,>10000,"['vacation', 'emergency fund', 'education']",445102,2,low,advanced,5000-10000,0,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,13.6%
retired,<5000,>10000,"['vacation', 'education', 'emergency fund']",335434,5,low,intermediate,>10000,<5000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,7,5.7%
student,0,<5000,"['education', 'vacation', 'emergency fund']",372716,19,low,intermediate,5000-10000,0,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,19.8%
student,5000-10000,5000-10000,"['Buying house', 'vacation', 'retirement']",316264,14,high,beginner,0,5000-10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,8,4.3%
self-employed,>10000,>10000,"['emergency fund', 'retirement', 'Buying house']",167601,18,high,beginner,>10000,<5000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,11.3%
unemployed,>10000,<5000,"['Buying house', 'education', 'vacation']",453882,7,low,beginner,0,<5000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,6.5%
student,>10000,0,"['vacation', 'retirement', 'emergency fund']",481542,6,low,beginner,0,0,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,11.2%
unemployed,>10000,<5000,"['vacation', 'emergency fund', 'education']",450780,13,moderate,intermediate,0,>10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,6.5%
student,5000-10000,5000-10000,"['emergency fund', 'Buying house', 'education']",289800,8,high,beginner,>10000,>10000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,12.3%
unemployed,0,<5000,"['education', 'Buying house', 'vacation']",303125,6,moderate,intermediate,0,>10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.0%
self-employed,0,<5000,"['Buying house', 'education', 'vacation']",81698,5,moderate,intermediate,<5000,>10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.7%
student,5000-10000,0,"['vacation', 'emergency fund', 'education']",99416,13,moderate,beginner,>10000,5000-10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,5,4.0%
employed,5000-10000,<5000,"['education', 'emergency fund', 'Buying house']",81910,8,low,intermediate,>10000,>10000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,10.3%
student,>10000,0,"['education', 'vacation', 'emergency fund']",279804,11,moderate,intermediate,>10000,0,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,6,11.0%
retired,<5000,>10000,"['Buying house', 'vacation', 'education']",465775,2,moderate,advanced,5000-10000,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,6.4%
self-employed,0,>10000,"['emergency fund', 'education', 'vacation']",306203,14,high,advanced,5000-10000,<5000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,11.4%
student,5000-10000,>10000,"['retirement', 'emergency fund', 'vacation']",432428,18,high,beginner,0,0,spender,Stable Income,Dividend-focused strategy for consistent income.,low,6,5.0%
employed,5000-10000,0,"['vacation', 'retirement', 'education']",58999,15,moderate,beginner,0,5000-10000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,5,3.3%
retired,5000-10000,<5000,"['Buying house', 'retirement', 'emergency fund']",441032,6,low,beginner,5000-10000,<5000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,4,4.9%
self-employed,0,0,"['retirement', 'emergency fund', 'Buying house']",487552,11,moderate,advanced,<5000,<5000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,5.6%
student,<5000,0,"['retirement', 'Buying house', 'education']",294491,9,low,intermediate,5000-10000,5000-10000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,4,4.1%
self-employed,0,>10000,"['Buying house', 'emergency fund', 'vacation']",347224,17,low,advanced,<5000,<5000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,20.2%
retired,<5000,>10000,"['education', 'vacation', 'emergency fund']",180864,5,low,advanced,0,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,6.4%
self-employed,>10000,5000-10000,"['retirement', 'education', 'vacation']",53418,14,high,beginner,>10000,>10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,5,5.6%
retired,>10000,<5000,"['retirement', 'education', 'Buying house']",292053,16,moderate,beginner,5000-10000,>10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,7,4.6%
retired,0,5000-10000,"['retirement', 'vacation', 'emergency fund']",267009,2,moderate,advanced,0,5000-10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,4,5.0%
student,>10000,5000-10000,"['retirement', 'Buying house', 'emergency fund']",449828,15,moderate,advanced,>10000,<5000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,5.5%
student,<5000,5000-10000,"['emergency fund', 'education', 'retirement']",189031,6,moderate,advanced,0,0,spender,Stable Income,Dividend-focused strategy for consistent income.,low,5,4.5%
student,>10000,0,"['Buying house', 'retirement', 'vacation']",482429,3,moderate,beginner,5000-10000,0,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,17.4%
student,>10000,>10000,"['retirement', 'Buying house', 'vacation']",416033,9,high,beginner,0,<5000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,6.1%
unemployed,5000-10000,5000-10000,"['retirement', 'emergency fund', 'education']",221189,1,moderate,intermediate,0,<5000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,7.2%
student,>10000,>10000,"['Buying house', 'vacation', 'education']",39467,18,low,advanced,<5000,>10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,8,5.4%
student,>10000,<5000,"['emergency fund', 'retirement', 'Buying house']",314840,2,high,advanced,<5000,5000-10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,7,6.9%
self-employed,0,5000-10000,"['vacation', 'retirement', 'education']",277934,16,moderate,intermediate,0,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,5.4%
self-employed,5000-10000,5000-10000,"['retirement', 'Buying house', 'emergency fund']",100028,5,high,advanced,<5000,>10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,5.6%
student,>10000,0,"['Buying house', 'education', 'retirement']",346407,13,high,intermediate,>10000,>10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,8,4.8%
student,5000-10000,0,"['emergency fund', 'Buying house', 'retirement']",247201,11,moderate,intermediate,>10000,<5000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,7.3%
retired,<5000,0,"['Buying house', 'emergency fund', 'retirement']",227590,13,high,beginner,5000-10000,0,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.0%
retired,<5000,0,"['education', 'retirement', 'vacation']",137746,11,moderate,advanced,5000-10000,>10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,7.6%
employed,0,<5000,"['retirement', 'Buying house', 'education']",457692,2,high,intermediate,5000-10000,0,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,6,3.2%
unemployed,0,5000-10000,"['emergency fund', 'vacation', 'retirement']",82879,6,low,beginner,5000-10000,<5000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,5.9%
unemployed,<5000,5000-10000,"['education', 'retirement', 'emergency fund']",57681,2,high,beginner,5000-10000,>10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,6.6%
student,<5000,<5000,"['Buying house', 'vacation', 'education']",38051,9,high,beginner,>10000,5000-10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,19.5%
self-employed,5000-10000,>10000,"['retirement', 'Buying house', 'emergency fund']",355444,13,high,beginner,5000-10000,<5000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,14.3%
retired,0,<5000,"['vacation', 'emergency fund', 'retirement']",109477,13,high,intermediate,<5000,5000-10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,13.9%
student,<5000,<5000,"['vacation', 'emergency fund', 'education']",371138,19,high,intermediate,>10000,>10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,6.4%
employed,<5000,0,"['emergency fund', 'retirement', 'vacation']",325189,19,low,intermediate,>10000,>10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,17.7%
employed,>10000,<5000,"['emergency fund', 'Buying house', 'education']",196812,8,low,intermediate,0,<5000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,11.1%
employed,0,0,"['education', 'retirement', 'emergency fund']",237668,19,high,advanced,<5000,5000-10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,7.1%
student,>10000,0,"['retirement', 'education', 'emergency fund']",448054,7,high,advanced,5000-10000,<5000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,6,3.8%
unemployed,>10000,0,"['vacation', 'emergency fund', 'Buying house']",363067,18,moderate,beginner,<5000,>10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.8%
employed,<5000,<5000,"['emergency fund', 'retirement', 'education']",346864,5,low,intermediate,5000-10000,5000-10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,7.0%
self-employed,>10000,<5000,"['emergency fund', 'retirement', 'Buying house']",47998,5,moderate,intermediate,5000-10000,<5000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,20.5%
student,5000-10000,5000-10000,"['retirement', 'emergency fund', 'education']",252690,17,high,advanced,<5000,<5000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,21.4%
retired,0,0,"['emergency fund', 'Buying house', 'retirement']",145915,9,low,beginner,>10000,<5000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,23.8%
employed,5000-10000,<5000,"['retirement', 'emergency fund', 'vacation']",263022,8,low,beginner,0,5000-10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,19.7%
retired,<5000,>10000,"['education', 'retirement', 'emergency fund']",246724,3,high,advanced,5000-10000,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,4,3.9%
unemployed,<5000,<5000,"['Buying house', 'emergency fund', 'education']",201972,7,high,advanced,<5000,5000-10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.8%
self-employed,5000-10000,0,"['emergency fund', 'vacation', 'education']",184589,19,moderate,beginner,<5000,0,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,6.3%
retired,>10000,0,"['education', 'emergency fund', 'retirement']",293766,16,moderate,advanced,>10000,<5000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,6.6%
retired,<5000,0,"['retirement', 'vacation', 'education']",183511,17,high,advanced,0,5000-10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,16.8%
student,0,>10000,"['education', 'vacation', 'emergency fund']",205722,19,low,intermediate,5000-10000,>10000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,6.0%
student,<5000,>10000,"['vacation', 'emergency fund', 'education']",350585,7,moderate,beginner,>10000,5000-10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,12.6%
unemployed,0,<5000,"['retirement', 'education', 'vacation']",389932,17,high,beginner,>10000,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.8%
self-employed,0,0,"['education', 'vacation', 'retirement']",205912,3,low,intermediate,0,0,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,5.3%
student,<5000,5000-10000,"['education', 'Buying house', 'retirement']",320270,15,high,advanced,>10000,0,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,6.8%
self-employed,0,<5000,"['Buying house', 'retirement', 'vacation']",460552,13,low,intermediate,<5000,>10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,11.9%
self-employed,5000-10000,5000-10000,"['education', 'vacation', 'Buying house']",425760,13,moderate,intermediate,0,>10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,6,3.1%
unemployed,5000-10000,0,"['retirement', 'emergency fund', 'education']",387429,18,high,intermediate,<5000,>10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,6,13.4%
retired,>10000,5000-10000,"['education', 'emergency fund', 'vacation']",301526,5,low,beginner,0,>10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,17.2%
self-employed,>10000,5000-10000,"['emergency fund', 'retirement', 'education']",208221,4,low,beginner,0,0,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,19.3%
self-employed,5000-10000,5000-10000,"['vacation', 'education', 'emergency fund']",181461,18,low,beginner,>10000,0,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,7.9%
unemployed,>10000,>10000,"['retirement', 'emergency fund', 'vacation']",183729,20,high,advanced,>10000,5000-10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,17.3%
unemployed,5000-10000,<5000,"['education', 'vacation', 'Buying house']",399420,2,low,intermediate,<5000,5000-10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,5.3%
student,>10000,5000-10000,"['Buying house', 'vacation', 'emergency fund']",239383,10,high,advanced,0,0,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.5%
retired,0,>10000,"['Buying house', 'education', 'vacation']",61796,13,high,intermediate,>10000,>10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,6.0%
